full_name,url,stars,forks,open_issues,contributors,commits,releases,has_ci,readme_length,n_topics,has_license,language,age_days,days_since_push,commits_per_contributor,has_readme,age_years,activity,text
Zitann/HarmonyOS-Haps,https://github.com/Zitann/HarmonyOS-Haps,2442,86,4,7,427,0,1,12279,2,0,Python,560,0,61.0,1,1.5,active,"Repository in Python with high popularity (2442 stars, 86 forks). Maintained by a team of 7 contributors, 427 total commits (61.0 per contributor). 0 releases, 4 open issues. It has CI/CD workflows, has a README of 12279 characters, 2 topics, and is no license. The project is 1.5 years old and currently active (last push 0 days ago)."
NVIDIA/Model-Optimizer,https://github.com/NVIDIA/Model-Optimizer,2786,413,227,73,833,36,1,16354,0,1,Python,765,0,11.4,1,2.1,active,"Repository in Python with high popularity (2786 stars, 413 forks). Maintained by a large community of 73 contributors, 833 total commits (11.4 per contributor). 36 releases, 227 open issues. It has CI/CD workflows, has a README of 16354 characters, no topics, and is licensed. The project is 2.1 years old and currently active (last push 0 days ago)."
Blaizzy/mlx-vlm,https://github.com/Blaizzy/mlx-vlm,4787,547,145,103,650,63,1,44651,13,1,Python,773,0,6.3,1,2.1,active,"Repository in Python with high popularity (4787 stars, 547 forks). Maintained by a large community of 103 contributors, 650 total commits (6.3 per contributor). 63 releases, 145 open issues. It has CI/CD workflows, has a README of 44651 characters, 13 topics, and is licensed. The project is 2.1 years old and currently active (last push 0 days ago)."
basicmachines-co/basic-memory,https://github.com/basicmachines-co/basic-memory,3110,206,74,20,1352,83,1,19262,15,1,Python,542,0,67.6,1,1.5,active,"Repository in Python with high popularity (3110 stars, 206 forks). Maintained by a team of 20 contributors, 1352 total commits (67.6 per contributor). 83 releases, 74 open issues. It has CI/CD workflows, has a README of 19262 characters, 15 topics, and is licensed. The project is 1.5 years old and currently active (last push 0 days ago)."
Nerogar/OneTrainer,https://github.com/Nerogar/OneTrainer,3009,297,135,56,1514,0,0,8556,4,1,Python,1143,0,27.0,1,3.1,active,"Repository in Python with high popularity (3009 stars, 297 forks). Maintained by a large community of 56 contributors, 1514 total commits (27.0 per contributor). 0 releases, 135 open issues. It lacks CI/CD workflows, has a README of 8556 characters, 4 topics, and is licensed. The project is 3.1 years old and currently active (last push 0 days ago)."
ROCm/TheRock,https://github.com/ROCm/TheRock,1047,245,918,185,2669,4,1,22752,0,1,Python,819,0,14.4,1,2.2,active,"Repository in Python with high popularity (1047 stars, 245 forks). Maintained by a large community of 185 contributors, 2669 total commits (14.4 per contributor). 4 releases, 918 open issues. It has CI/CD workflows, has a README of 22752 characters, no topics, and is licensed. The project is 2.2 years old and currently active (last push 0 days ago)."
testcontainers/testcontainers-python,https://github.com/testcontainers/testcontainers-python,2223,373,172,171,1050,49,1,3738,6,1,Python,3355,0,6.1,1,9.2,active,"Repository in Python with high popularity (2223 stars, 373 forks). Maintained by a large community of 171 contributors, 1050 total commits (6.1 per contributor). 49 releases, 172 open issues. It has CI/CD workflows, has a README of 3738 characters, 6 topics, and is licensed. The project is 9.2 years old and currently active (last push 0 days ago)."
PyCQA/flake8-bugbear,https://github.com/PyCQA/flake8-bugbear,1116,116,64,87,446,55,1,34379,4,1,Python,3726,0,5.1,1,10.2,active,"Repository in Python with high popularity (1116 stars, 116 forks). Maintained by a large community of 87 contributors, 446 total commits (5.1 per contributor). 55 releases, 64 open issues. It has CI/CD workflows, has a README of 34379 characters, 4 topics, and is licensed. The project is 10.2 years old and currently active (last push 0 days ago)."
NopeCHALLC/nopecha-python,https://github.com/NopeCHALLC/nopecha-python,1646,13,2,4,23,0,0,5277,13,1,Python,1163,0,5.8,1,3.2,active,"Repository in Python with high popularity (1646 stars, 13 forks). Maintained by a small team of 4 contributors, 23 total commits (5.8 per contributor). 0 releases, 2 open issues. It lacks CI/CD workflows, has a README of 5277 characters, 13 topics, and is licensed. The project is 3.2 years old and currently active (last push 0 days ago)."
bytedance/Lance,https://github.com/bytedance/Lance,1037,72,12,5,93,0,0,35129,6,1,Python,14,0,18.6,1,0.0,active,"Repository in Python with high popularity (1037 stars, 72 forks). Maintained by a small team of 5 contributors, 93 total commits (18.6 per contributor). 0 releases, 12 open issues. It lacks CI/CD workflows, has a README of 35129 characters, 6 topics, and is licensed. The project is 0.0 years old and currently active (last push 0 days ago)."
GAM-team/GAM,https://github.com/GAM-team/GAM,4186,525,39,36,5710,419,1,1573,13,1,Python,4386,0,158.6,1,12.0,active,"Repository in Python with high popularity (4186 stars, 525 forks). Maintained by a team of 36 contributors, 5710 total commits (158.6 per contributor). 419 releases, 39 open issues. It has CI/CD workflows, has a README of 1573 characters, 13 topics, and is licensed. The project is 12.0 years old and currently active (last push 0 days ago)."
langflow-ai/openrag,https://github.com/langflow-ai/openrag,4092,405,245,40,3821,57,1,6176,0,1,Python,322,0,95.5,1,0.9,active,"Repository in Python with high popularity (4092 stars, 405 forks). Maintained by a team of 40 contributors, 3821 total commits (95.5 per contributor). 57 releases, 245 open issues. It has CI/CD workflows, has a README of 6176 characters, no topics, and is licensed. The project is 0.9 years old and currently active (last push 0 days ago)."
intuitem/ciso-assistant-community,https://github.com/intuitem/ciso-assistant-community,4087,728,112,101,7378,266,1,37703,20,1,Python,982,0,73.0,1,2.7,active,"Repository in Python with high popularity (4087 stars, 728 forks). Maintained by a large community of 101 contributors, 7378 total commits (73.0 per contributor). 266 releases, 112 open issues. It has CI/CD workflows, has a README of 37703 characters, 20 topics, and is licensed. The project is 2.7 years old and currently active (last push 0 days ago)."
openai/plugins,https://github.com/openai/plugins,1289,192,32,45,224,0,0,1074,0,0,Python,85,0,5.0,1,0.2,active,"Repository in Python with high popularity (1289 stars, 192 forks). Maintained by a team of 45 contributors, 224 total commits (5.0 per contributor). 0 releases, 32 open issues. It lacks CI/CD workflows, has a README of 1074 characters, no topics, and is no license. The project is 0.2 years old and currently active (last push 0 days ago)."
AvenCores/goida-vpn-configs,https://github.com/AvenCores/goida-vpn-configs,2394,122,0,4,265910,0,1,36475,20,1,Python,539,0,66477.5,1,1.5,active,"Repository in Python with high popularity (2394 stars, 122 forks). Maintained by a small team of 4 contributors, 265910 total commits (66477.5 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 36475 characters, 20 topics, and is licensed. The project is 1.5 years old and currently active (last push 0 days ago)."
pytorch/rl,https://github.com/pytorch/rl,3449,456,292,202,2526,31,1,44066,13,1,Python,1578,0,12.5,1,4.3,active,"Repository in Python with high popularity (3449 stars, 456 forks). Maintained by a large community of 202 contributors, 2526 total commits (12.5 per contributor). 31 releases, 292 open issues. It has CI/CD workflows, has a README of 44066 characters, 13 topics, and is licensed. The project is 4.3 years old and currently active (last push 0 days ago)."
Josh-XT/AGiXT,https://github.com/Josh-XT/AGiXT,3192,445,0,41,5848,433,1,3817,14,1,Python,1137,0,142.6,1,3.1,active,"Repository in Python with high popularity (3192 stars, 445 forks). Maintained by a team of 41 contributors, 5848 total commits (142.6 per contributor). 433 releases, 0 open issues. It has CI/CD workflows, has a README of 3817 characters, 14 topics, and is licensed. The project is 3.1 years old and currently active (last push 0 days ago)."
kapicorp/kapitan,https://github.com/kapicorp/kapitan,1913,210,119,75,2214,128,1,6579,20,1,Python,3154,0,29.5,1,8.6,active,"Repository in Python with high popularity (1913 stars, 210 forks). Maintained by a large community of 75 contributors, 2214 total commits (29.5 per contributor). 128 releases, 119 open issues. It has CI/CD workflows, has a README of 6579 characters, 20 topics, and is licensed. The project is 8.6 years old and currently active (last push 0 days ago)."
Nixtla/neuralforecast,https://github.com/Nixtla/neuralforecast,4135,491,38,53,1358,36,1,12826,20,1,Python,1859,0,25.6,1,5.1,active,"Repository in Python with high popularity (4135 stars, 491 forks). Maintained by a large community of 53 contributors, 1358 total commits (25.6 per contributor). 36 releases, 38 open issues. It has CI/CD workflows, has a README of 12826 characters, 20 topics, and is licensed. The project is 5.1 years old and currently active (last push 0 days ago)."
1bananachicken/MaaNTE,https://github.com/1bananachicken/MaaNTE,1647,141,30,17,336,11,1,5084,5,1,Python,33,0,19.8,1,0.1,active,"Repository in Python with high popularity (1647 stars, 141 forks). Maintained by a team of 17 contributors, 336 total commits (19.8 per contributor). 11 releases, 30 open issues. It has CI/CD workflows, has a README of 5084 characters, 5 topics, and is licensed. The project is 0.1 years old and currently active (last push 0 days ago)."
SilentDemonSD/WZML-X,https://github.com/SilentDemonSD/WZML-X,1441,2167,23,17,374,4,1,8812,20,1,Python,1351,0,22.0,1,3.7,active,"Repository in Python with high popularity (1441 stars, 2167 forks). Maintained by a team of 17 contributors, 374 total commits (22.0 per contributor). 4 releases, 23 open issues. It has CI/CD workflows, has a README of 8812 characters, 20 topics, and is licensed. The project is 3.7 years old and currently active (last push 0 days ago)."
saturday06/VRM-Addon-for-Blender,https://github.com/saturday06/VRM-Addon-for-Blender,1645,159,98,20,6389,298,1,16439,2,1,Python,2699,0,319.4,1,7.4,active,"Repository in Python with high popularity (1645 stars, 159 forks). Maintained by a team of 20 contributors, 6389 total commits (319.4 per contributor). 298 releases, 98 open issues. It has CI/CD workflows, has a README of 16439 characters, 2 topics, and is licensed. The project is 7.4 years old and currently active (last push 0 days ago)."
microsoft/azure-skills,https://github.com/microsoft/azure-skills,1114,172,1,16,199,12,1,13976,1,1,Python,92,0,12.4,1,0.3,active,"Repository in Python with high popularity (1114 stars, 172 forks). Maintained by a team of 16 contributors, 199 total commits (12.4 per contributor). 12 releases, 1 open issues. It has CI/CD workflows, has a README of 13976 characters, 1 topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
openaddresses/openaddresses,https://github.com/openaddresses/openaddresses,3178,876,427,190,14023,0,0,5018,4,1,Python,4494,0,73.8,1,12.3,active,"Repository in Python with high popularity (3178 stars, 876 forks). Maintained by a large community of 190 contributors, 14023 total commits (73.8 per contributor). 0 releases, 427 open issues. It lacks CI/CD workflows, has a README of 5018 characters, 4 topics, and is licensed. The project is 12.3 years old and currently active (last push 0 days ago)."
NVIDIA/NeMo-Retriever,https://github.com/NVIDIA/NeMo-Retriever,2931,322,187,49,1424,10,1,14021,0,1,Python,645,0,29.1,1,1.8,active,"Repository in Python with high popularity (2931 stars, 322 forks). Maintained by a team of 49 contributors, 1424 total commits (29.1 per contributor). 10 releases, 187 open issues. It has CI/CD workflows, has a README of 14021 characters, no topics, and is licensed. The project is 1.8 years old and currently active (last push 0 days ago)."
chonkie-inc/chonkie,https://github.com/chonkie-inc/chonkie,4111,275,32,37,2118,43,1,18924,11,1,Python,426,0,57.2,1,1.2,active,"Repository in Python with high popularity (4111 stars, 275 forks). Maintained by a team of 37 contributors, 2118 total commits (57.2 per contributor). 43 releases, 32 open issues. It has CI/CD workflows, has a README of 18924 characters, 11 topics, and is licensed. The project is 1.2 years old and currently active (last push 0 days ago)."
Universal-Commerce-Protocol/ucp,https://github.com/Universal-Commerce-Protocol/ucp,3057,395,117,38,176,3,1,5690,0,1,Python,149,0,4.6,1,0.4,active,"Repository in Python with high popularity (3057 stars, 395 forks). Maintained by a team of 38 contributors, 176 total commits (4.6 per contributor). 3 releases, 117 open issues. It has CI/CD workflows, has a README of 5690 characters, no topics, and is licensed. The project is 0.4 years old and currently active (last push 0 days ago)."
NVIDIA-NeMo/RL,https://github.com/NVIDIA-NeMo/RL,1664,400,659,112,965,9,1,35618,0,1,Python,439,0,8.6,1,1.2,active,"Repository in Python with high popularity (1664 stars, 400 forks). Maintained by a large community of 112 contributors, 965 total commits (8.6 per contributor). 9 releases, 659 open issues. It has CI/CD workflows, has a README of 35618 characters, no topics, and is licensed. The project is 1.2 years old and currently active (last push 0 days ago)."
UKGovernmentBEIS/inspect_ai,https://github.com/UKGovernmentBEIS/inspect_ai,2140,533,163,228,5823,0,1,3094,0,1,Python,927,0,25.5,1,2.5,active,"Repository in Python with high popularity (2140 stars, 533 forks). Maintained by a large community of 228 contributors, 5823 total commits (25.5 per contributor). 0 releases, 163 open issues. It has CI/CD workflows, has a README of 3094 characters, no topics, and is licensed. The project is 2.5 years old and currently active (last push 0 days ago)."
dograh-hq/dograh,https://github.com/dograh-hq/dograh,3675,767,22,22,515,40,1,8201,20,1,Python,262,0,23.4,1,0.7,active,"Repository in Python with high popularity (3675 stars, 767 forks). Maintained by a team of 22 contributors, 515 total commits (23.4 per contributor). 40 releases, 22 open issues. It has CI/CD workflows, has a README of 8201 characters, 20 topics, and is licensed. The project is 0.7 years old and currently active (last push 0 days ago)."
harbor-framework/harbor,https://github.com/harbor-framework/harbor,2192,1084,358,201,991,14,1,2564,3,1,Python,297,0,4.9,1,0.8,active,"Repository in Python with high popularity (2192 stars, 1084 forks). Maintained by a large community of 201 contributors, 991 total commits (4.9 per contributor). 14 releases, 358 open issues. It has CI/CD workflows, has a README of 2564 characters, 3 topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago)."
CharlesPikachu/videodl,https://github.com/CharlesPikachu/videodl,2148,391,8,1,766,2,1,70235,20,1,Python,2880,0,766.0,1,7.9,active,"Repository in Python with high popularity (2148 stars, 391 forks). Maintained by a single contributor, 766 total commits (766.0 per contributor). 2 releases, 8 open issues. It has CI/CD workflows, has a README of 70235 characters, 20 topics, and is licensed. The project is 7.9 years old and currently active (last push 0 days ago)."
maziggy/bambuddy,https://github.com/maziggy/bambuddy,1717,206,86,40,2736,59,1,40911,12,1,Python,182,0,68.4,1,0.5,active,"Repository in Python with high popularity (1717 stars, 206 forks). Maintained by a team of 40 contributors, 2736 total commits (68.4 per contributor). 59 releases, 86 open issues. It has CI/CD workflows, has a README of 40911 characters, 12 topics, and is licensed. The project is 0.5 years old and currently active (last push 0 days ago)."
CharlesPikachu/musicdl,https://github.com/CharlesPikachu/musicdl,4895,623,7,1,972,1,1,56446,20,1,Python,2893,0,972.0,1,7.9,active,"Repository in Python with high popularity (4895 stars, 623 forks). Maintained by a single contributor, 972 total commits (972.0 per contributor). 1 releases, 7 open issues. It has CI/CD workflows, has a README of 56446 characters, 20 topics, and is licensed. The project is 7.9 years old and currently active (last push 0 days ago)."
greyhaven-ai/autocontext,https://github.com/greyhaven-ai/autocontext,1162,96,1,2,1648,0,1,20623,13,1,Python,106,0,824.0,1,0.3,active,"Repository in Python with high popularity (1162 stars, 96 forks). Maintained by a small team of 2 contributors, 1648 total commits (824.0 per contributor). 0 releases, 1 open issues. It has CI/CD workflows, has a README of 20623 characters, 13 topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
aws-cloudformation/cfn-lint,https://github.com/aws-cloudformation/cfn-lint,2619,634,66,175,3346,460,1,22634,5,1,Python,2970,0,19.1,1,8.1,active,"Repository in Python with high popularity (2619 stars, 634 forks). Maintained by a large community of 175 contributors, 3346 total commits (19.1 per contributor). 460 releases, 66 open issues. It has CI/CD workflows, has a README of 22634 characters, 5 topics, and is licensed. The project is 8.1 years old and currently active (last push 0 days ago)."
eclipse-sumo/sumo,https://github.com/eclipse-sumo/sumo,4013,1732,2965,121,51761,0,1,5402,3,1,Python,3135,0,427.8,1,8.6,active,"Repository in Python with high popularity (4013 stars, 1732 forks). Maintained by a large community of 121 contributors, 51761 total commits (427.8 per contributor). 0 releases, 2965 open issues. It has CI/CD workflows, has a README of 5402 characters, 3 topics, and is licensed. The project is 8.6 years old and currently active (last push 0 days ago)."
hgmzhn/manga-translator-ui,https://github.com/hgmzhn/manga-translator-ui,1730,85,4,5,925,69,1,11822,10,1,Python,271,0,185.0,1,0.7,active,"Repository in Python with high popularity (1730 stars, 85 forks). Maintained by a small team of 5 contributors, 925 total commits (185.0 per contributor). 69 releases, 4 open issues. It has CI/CD workflows, has a README of 11822 characters, 10 topics, and is licensed. The project is 0.7 years old and currently active (last push 0 days ago)."
ArcReel/ArcReel,https://github.com/ArcReel/ArcReel,2395,521,37,9,509,41,1,12318,16,1,Python,111,0,56.6,1,0.3,active,"Repository in Python with high popularity (2395 stars, 521 forks). Maintained by a team of 9 contributors, 509 total commits (56.6 per contributor). 41 releases, 37 open issues. It has CI/CD workflows, has a README of 12318 characters, 16 topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
radixark/miles,https://github.com/radixark/miles,1452,230,350,94,1211,0,1,9464,0,1,Python,232,0,12.9,1,0.6,active,"Repository in Python with high popularity (1452 stars, 230 forks). Maintained by a large community of 94 contributors, 1211 total commits (12.9 per contributor). 0 releases, 350 open issues. It has CI/CD workflows, has a README of 9464 characters, no topics, and is licensed. The project is 0.6 years old and currently active (last push 0 days ago)."
Skillter/ProxyGather,https://github.com/Skillter/ProxyGather,111,10,3,3,6136,0,1,10866,11,0,Python,350,0,2045.3,1,1.0,active,"Repository in Python with moderate popularity (111 stars, 10 forks). Maintained by a small team of 3 contributors, 6136 total commits (2045.3 per contributor). 0 releases, 3 open issues. It has CI/CD workflows, has a README of 10866 characters, 11 topics, and is no license. The project is 1.0 years old and currently active (last push 0 days ago)."
TheRealWaldo/thermal,https://github.com/TheRealWaldo/thermal,76,7,1,6,296,22,1,9318,7,1,Python,1801,0,49.3,1,4.9,active,"Repository in Python with low popularity (76 stars, 7 forks). Maintained by a team of 6 contributors, 296 total commits (49.3 per contributor). 22 releases, 1 open issues. It has CI/CD workflows, has a README of 9318 characters, 7 topics, and is licensed. The project is 4.9 years old and currently active (last push 0 days ago)."
NevermindNilas/TheAnimeScripter,https://github.com/NevermindNilas/TheAnimeScripter,285,11,2,5,2678,105,1,16176,14,1,Python,926,0,535.6,1,2.5,active,"Repository in Python with moderate popularity (285 stars, 11 forks). Maintained by a small team of 5 contributors, 2678 total commits (535.6 per contributor). 105 releases, 2 open issues. It has CI/CD workflows, has a README of 16176 characters, 14 topics, and is licensed. The project is 2.5 years old and currently active (last push 0 days ago)."
xsrazy/Download-All-Tiktok-Videos,https://github.com/xsrazy/Download-All-Tiktok-Videos,57,10,4,1,18884,0,0,3508,0,0,Python,1184,0,18884.0,1,3.2,active,"Repository in Python with low popularity (57 stars, 10 forks). Maintained by a single contributor, 18884 total commits (18884.0 per contributor). 0 releases, 4 open issues. It lacks CI/CD workflows, has a README of 3508 characters, no topics, and is no license. The project is 3.2 years old and currently active (last push 0 days ago)."
Patrowl/PatrowlHearsData,https://github.com/Patrowl/PatrowlHearsData,146,39,6,2,57808,0,0,2684,7,1,Python,1991,0,28904.0,1,5.5,active,"Repository in Python with moderate popularity (146 stars, 39 forks). Maintained by a small team of 2 contributors, 57808 total commits (28904.0 per contributor). 0 releases, 6 open issues. It lacks CI/CD workflows, has a README of 2684 characters, 7 topics, and is licensed. The project is 5.5 years old and currently active (last push 0 days ago)."
InterDigitalInc/CompressAI-Vision,https://github.com/InterDigitalInc/CompressAI-Vision,126,12,0,12,1180,0,1,6632,6,1,Python,1352,0,98.3,1,3.7,active,"Repository in Python with moderate popularity (126 stars, 12 forks). Maintained by a team of 12 contributors, 1180 total commits (98.3 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 6632 characters, 6 topics, and is licensed. The project is 3.7 years old and currently active (last push 0 days ago)."
databrickslabs/sandbox,https://github.com/databrickslabs/sandbox,73,58,55,24,395,24,1,1232,3,1,Python,933,0,16.5,1,2.6,active,"Repository in Python with low popularity (73 stars, 58 forks). Maintained by a team of 24 contributors, 395 total commits (16.5 per contributor). 24 releases, 55 open issues. It has CI/CD workflows, has a README of 1232 characters, 3 topics, and is licensed. The project is 2.6 years old and currently active (last push 0 days ago)."
chython/chython,https://github.com/chython/chython,52,16,15,6,358,29,1,1575,0,1,Python,1756,0,59.7,1,4.8,active,"Repository in Python with low popularity (52 stars, 16 forks). Maintained by a team of 6 contributors, 358 total commits (59.7 per contributor). 29 releases, 15 open issues. It has CI/CD workflows, has a README of 1575 characters, no topics, and is licensed. The project is 4.8 years old and currently active (last push 0 days ago)."
gpt-cmdr/ras-commander,https://github.com/gpt-cmdr/ras-commander,62,19,4,3,960,0,1,37807,0,1,Python,630,0,320.0,1,1.7,active,"Repository in Python with low popularity (62 stars, 19 forks). Maintained by a small team of 3 contributors, 960 total commits (320.0 per contributor). 0 releases, 4 open issues. It has CI/CD workflows, has a README of 37807 characters, no topics, and is licensed. The project is 1.7 years old and currently active (last push 0 days ago)."
miaojiuqing/Maa_bbb,https://github.com/miaojiuqing/Maa_bbb,134,9,15,10,1340,125,1,7772,0,1,Python,239,0,134.0,1,0.7,active,"Repository in Python with moderate popularity (134 stars, 9 forks). Maintained by a team of 10 contributors, 1340 total commits (134.0 per contributor). 125 releases, 15 open issues. It has CI/CD workflows, has a README of 7772 characters, no topics, and is licensed. The project is 0.7 years old and currently active (last push 0 days ago)."
alphavantage/alpha_vantage_mcp,https://github.com/alphavantage/alpha_vantage_mcp,159,39,1,4,220,0,1,37827,0,1,Python,305,0,55.0,1,0.8,active,"Repository in Python with moderate popularity (159 stars, 39 forks). Maintained by a small team of 4 contributors, 220 total commits (55.0 per contributor). 0 releases, 1 open issues. It has CI/CD workflows, has a README of 37827 characters, no topics, and is licensed. The project is 0.8 years old and currently active (last push 0 days ago)."
indmdev/Free-Telegram-Store-Bot,https://github.com/indmdev/Free-Telegram-Store-Bot,114,58,11,1,726702,0,0,1928,17,1,Python,775,0,726702.0,1,2.1,active,"Repository in Python with moderate popularity (114 stars, 58 forks). Maintained by a single contributor, 726702 total commits (726702.0 per contributor). 0 releases, 11 open issues. It lacks CI/CD workflows, has a README of 1928 characters, 17 topics, and is licensed. The project is 2.1 years old and currently active (last push 0 days ago)."
mnaberez/py65,https://github.com/mnaberez/py65,260,73,10,9,611,0,1,2888,2,1,Python,6319,0,67.9,1,17.3,active,"Repository in Python with moderate popularity (260 stars, 73 forks). Maintained by a team of 9 contributors, 611 total commits (67.9 per contributor). 0 releases, 10 open issues. It has CI/CD workflows, has a README of 2888 characters, 2 topics, and is licensed. The project is 17.3 years old and currently active (last push 0 days ago)."
gongyu0918-debug/rogue-go-arena,https://github.com/gongyu0918-debug/rogue-go-arena,60,0,0,2,150,11,0,11592,6,1,Python,61,0,75.0,1,0.2,active,"Repository in Python with low popularity (60 stars, 0 forks). Maintained by a small team of 2 contributors, 150 total commits (75.0 per contributor). 11 releases, 0 open issues. It lacks CI/CD workflows, has a README of 11592 characters, 6 topics, and is licensed. The project is 0.2 years old and currently active (last push 0 days ago)."
yuexuan521/honeypot-blocklist,https://github.com/yuexuan521/honeypot-blocklist,212,4,1,1,1797,1,1,9087,0,1,Python,157,0,1797.0,1,0.4,active,"Repository in Python with moderate popularity (212 stars, 4 forks). Maintained by a single contributor, 1797 total commits (1797.0 per contributor). 1 releases, 1 open issues. It has CI/CD workflows, has a README of 9087 characters, no topics, and is licensed. The project is 0.4 years old and currently active (last push 0 days ago)."
Checkora/Checkora,https://github.com/Checkora/Checkora,120,418,409,97,974,0,1,43187,0,1,Python,115,0,10.0,1,0.3,active,"Repository in Python with moderate popularity (120 stars, 418 forks). Maintained by a large community of 97 contributors, 974 total commits (10.0 per contributor). 0 releases, 409 open issues. It has CI/CD workflows, has a README of 43187 characters, no topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
sartography/spiff-arena,https://github.com/sartography/spiff-arena,135,72,249,38,4985,28,1,7315,11,1,Python,1325,0,131.2,1,3.6,active,"Repository in Python with moderate popularity (135 stars, 72 forks). Maintained by a team of 38 contributors, 4985 total commits (131.2 per contributor). 28 releases, 249 open issues. It has CI/CD workflows, has a README of 7315 characters, 11 topics, and is licensed. The project is 3.6 years old and currently active (last push 0 days ago)."
CharlesPikachu/paperdl,https://github.com/CharlesPikachu/paperdl,55,9,0,1,57,0,1,11848,10,1,Python,1557,0,57.0,1,4.3,active,"Repository in Python with low popularity (55 stars, 9 forks). Maintained by a single contributor, 57 total commits (57.0 per contributor). 0 releases, 0 open issues. It has CI/CD workflows, has a README of 11848 characters, 10 topics, and is licensed. The project is 4.3 years old and currently active (last push 0 days ago)."
ishaanbuildsthings/leetcode,https://github.com/ishaanbuildsthings/leetcode,295,37,0,1,2668,0,0,232,0,0,Python,1127,0,2668.0,1,3.1,active,"Repository in Python with moderate popularity (295 stars, 37 forks). Maintained by a single contributor, 2668 total commits (2668.0 per contributor). 0 releases, 0 open issues. It lacks CI/CD workflows, has a README of 232 characters, no topics, and is no license. The project is 3.1 years old and currently active (last push 0 days ago)."
dancinlab/hexa-lang,https://github.com/dancinlab/hexa-lang,224,80,3,2,8243,4,1,34879,11,1,Python,58,0,4121.5,1,0.2,active,"Repository in Python with moderate popularity (224 stars, 80 forks). Maintained by a small team of 2 contributors, 8243 total commits (4121.5 per contributor). 4 releases, 3 open issues. It has CI/CD workflows, has a README of 34879 characters, 11 topics, and is licensed. The project is 0.2 years old and currently active (last push 0 days ago)."
maxim-saplin/llm_chess,https://github.com/maxim-saplin/llm_chess,102,10,1,6,1376,0,0,9047,0,1,Python,608,0,229.3,1,1.7,active,"Repository in Python with moderate popularity (102 stars, 10 forks). Maintained by a team of 6 contributors, 1376 total commits (229.3 per contributor). 0 releases, 1 open issues. It lacks CI/CD workflows, has a README of 9047 characters, no topics, and is licensed. The project is 1.7 years old and currently active (last push 0 days ago)."
LobsterTrap/lola,https://github.com/LobsterTrap/lola,91,21,54,16,286,5,1,13350,0,1,Python,224,0,17.9,1,0.6,active,"Repository in Python with low popularity (91 stars, 21 forks). Maintained by a team of 16 contributors, 286 total commits (17.9 per contributor). 5 releases, 54 open issues. It has CI/CD workflows, has a README of 13350 characters, no topics, and is licensed. The project is 0.6 years old and currently active (last push 0 days ago)."
daedalus/ImpactGuard,https://github.com/daedalus/ImpactGuard,116,0,0,2,276,11,1,44535,17,1,Python,27,0,138.0,1,0.1,active,"Repository in Python with moderate popularity (116 stars, 0 forks). Maintained by a small team of 2 contributors, 276 total commits (138.0 per contributor). 11 releases, 0 open issues. It has CI/CD workflows, has a README of 44535 characters, 17 topics, and is licensed. The project is 0.1 years old and currently active (last push 0 days ago)."
broadinstitute/viral-ngs,https://github.com/broadinstitute/viral-ngs,196,67,2,16,9683,106,1,5922,15,1,Python,4263,0,605.2,1,11.7,active,"Repository in Python with moderate popularity (196 stars, 67 forks). Maintained by a team of 16 contributors, 9683 total commits (605.2 per contributor). 106 releases, 2 open issues. It has CI/CD workflows, has a README of 5922 characters, 15 topics, and is licensed. The project is 11.7 years old and currently active (last push 0 days ago)."
larsiusprime/openavmkit,https://github.com/larsiusprime/openavmkit,72,20,34,8,752,14,1,3607,0,1,Python,539,0,94.0,1,1.5,active,"Repository in Python with low popularity (72 stars, 20 forks). Maintained by a team of 8 contributors, 752 total commits (94.0 per contributor). 14 releases, 34 open issues. It has CI/CD workflows, has a README of 3607 characters, no topics, and is licensed. The project is 1.5 years old and currently active (last push 0 days ago)."
The412Banner/Banners-Turnip,https://github.com/The412Banner/Banners-Turnip,96,7,0,5,1349,227,1,12304,0,1,Python,97,0,269.8,1,0.3,active,"Repository in Python with low popularity (96 stars, 7 forks). Maintained by a small team of 5 contributors, 1349 total commits (269.8 per contributor). 227 releases, 0 open issues. It has CI/CD workflows, has a README of 12304 characters, no topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
datadog-labs/agent-skills,https://github.com/datadog-labs/agent-skills,125,11,4,14,68,0,0,13892,0,1,Python,115,0,4.9,1,0.3,active,"Repository in Python with moderate popularity (125 stars, 11 forks). Maintained by a team of 14 contributors, 68 total commits (4.9 per contributor). 0 releases, 4 open issues. It lacks CI/CD workflows, has a README of 13892 characters, no topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
UiPath/skills,https://github.com/UiPath/skills,94,27,182,83,863,0,1,8264,0,1,Python,127,0,10.4,1,0.3,active,"Repository in Python with low popularity (94 stars, 27 forks). Maintained by a large community of 83 contributors, 863 total commits (10.4 per contributor). 0 releases, 182 open issues. It has CI/CD workflows, has a README of 8264 characters, no topics, and is licensed. The project is 0.3 years old and currently active (last push 0 days ago)."
